stock1,stock2,correlation,lag
A,AAL,0.0008870163015756098,20
A,AAPL,-0.0004864937942885578,180
A,ABBV,0.0003254109690750649,10
A,ABNB,0.0005731338202662695,20
A,ABT,0.0009635580842999993,1
A,ACGL,-0.0003651964609567395,10
A,ACN,0.0005395061730765102,1
A,ADBE,0.0010287992938223865,20
A,ADI,0.0008432096684990974,1
A,ADM,-0.0002709105315856352,30
A,ADP,-0.00034275473817909485,60
A,ADSK,0.0006284579761118597,120
A,AEE,0.0012795088367441602,1
A,AEP,0.0006136346200015057,1
A,AES,0.0007840500818939625,1
A,AFL,0.0004355729478106751,30
A,AIG,0.00046218631399989825,1
A,AIZ,0.0018789861005281256,1
A,AJG,0.0010227794055513559,1
A,AKAM,-0.0011088471708090228,30
A,ALB,0.001181237216993877,10
A,ALGN,0.0016638625417191777,1
A,ALL,-0.0002207261465260503,60
A,ALLE,0.0024701291989683875,1
A,AMAT,0.001011388386787601,1
A,AMCR,0.0012337294115513239,1
A,AMD,-0.0009828747056166423,1
A,AME,0.002229806358781316,1
A,AMGN,0.00041506711989280665,1
A,AMP,0.0023134259086297856,1
A,AMT,0.00046472972777064165,1
A,AMZN,-0.0005486400538126283,120
A,ANET,0.001608910976968085,10
A,ANSS,0.0010055957340749056,1
A,AON,0.0008220176660342784,180
A,AOS,0.0018226280674236883,1
A,APA,-0.0005712227478421814,30
A,APD,0.0010389238061675305,1
A,APH,0.0007392011879930893,1
A,APTV,0.0023048911063730283,1
A,ARE,0.0030476911792816194,1
A,ATO,0.000383583265415399,1
A,AVB,0.0016657591910922902,1
A,AVGO,-0.0006329976455401504,10
A,AVY,0.0006607906240121965,1
A,AWK,0.0010462993648417981,1
A,AXON,0.0010977233247300858,1
A,AXP,0.0008303034878323401,1
A,AZO,0.0020209264645480317,1
A,BA,0.0005404764620132853,1
A,BAC,0.0005265800111285293,180
A,BALL,0.00223598412289899,1
A,BAX,0.0012269103023591443,1
A,BBWI,0.0022581985720787155,1
A,BBY,0.00044666388323237025,5
A,BDX,0.0012799663699644668,1
A,BEN,0.0021681322668391277,1
A,BF.B,0.0006346488112847643,1
A,BG,-0.000615309582168236,30
A,BIIB,0.000784807930769571,1
A,BIO,0.004804672807395013,1
A,BK,0.0005782543305621224,1
A,BKNG,0.0005721458869801112,1
A,BKR,0.000342417536227814,5
A,BLDR,0.0018697659181559152,1
A,BLK,0.0009121564494290039,1
A,BMY,0.0004855816911799984,10
A,BR,0.0016570273089868298,1
A,BRK.B,0.0005553505882397665,1
A,BRO,0.0014992261229599584,1
A,BSX,0.0005165637645172215,10
A,BWA,-0.0005133363831545514,30
A,BX,0.0016302511433288031,1
A,BXP,0.0020200010895129474,1
A,C,0.00047376160755796624,120
A,CAG,0.0007832228997463576,1
A,CAH,0.0003644665169120458,1
A,CARR,-0.0003908614675556685,20
A,CAT,0.001205986355960358,1
A,CB,0.0008677866174491334,1
A,CBOE,-0.00039973633926804084,20
A,CBRE,0.0021511167120175406,1
A,CCI,0.0004434356804589233,1
A,CCL,0.0025110796920807667,1
A,CDNS,0.000536331703927718,20
A,CDW,-0.00038080638563528144,10
A,CE,0.003056608993402917,1
A,CEG,-0.0005269785424298766,5
A,CF,0.0004103921512369635,20
A,CFG,0.0005948509343968573,10
A,CHD,0.0015183539780231764,1
A,CHRW,0.0008714075549894051,1
A,CHTR,-0.0009109305256787581,1
A,CI,0.0006683568321972058,60
A,CINF,0.0004749424236410773,1
A,CL,0.000451826856455409,1
A,CLX,0.0007358409240454319,1
A,CMA,0.0011252550777230707,10
A,CMCSA,0.00042991025943107583,10
A,CME,-0.00024994162537319463,180
A,CMG,0.0004970687014243857,180
A,CMI,0.0015744695038566354,1
A,CMS,0.001572335022817995,1
A,CNC,0.0009507627042083826,1
A,CNP,0.0003614510578639433,1
