ts_event,JKHY_actual,PCG_actual,JKHY_predicted,PCG_predicted,vol_JKHY,vol_change_JKHY,vol_std_JKHY,vol_PCG,vol_change_PCG,vol_std_PCG,JKHY_trade,PCG_trade
2024-04-01 13:52:00+00:00,-0.0013044425358616266,0.00030097818135396784,0.00024731111314715934,-2.2535536117686056e-05,,,,,,,C,nan
2024-04-01 13:53:00+00:00,-0.0017419078290380168,-0.0003009781813539835,0.0003731616654985559,-4.9440560042267296e-05,,,,,,,C,nan
2024-04-01 13:54:00+00:00,0.0019449329033319437,-0.00030106879649359415,-0.00029152025950371374,3.2229759673705566e-05,,,,,,,P,nan
2024-04-01 13:55:00+00:00,-0.0008703978267323485,0.0003010687964934788,0.00013405089122015812,1.2474241856957706e-05,,,,,,,nan,nan
2024-04-01 13:59:00+00:00,0.0007543885458596506,-0.0006022282627058075,-0.0001786412107127096,8.334481371821544e-05,,,,,,,P,C
2024-04-01 14:00:00+00:00,-0.0020323439913516417,-0.0012055456553487812,0.0002888043772892293,-3.846403927989952e-05,,,,,,,C,nan
2024-04-01 14:02:00+00:00,-0.0032603661857592836,-0.0015089787079392248,0.00045670005764606326,9.682657026061416e-05,,,,,,,C,C
2024-04-01 14:03:00+00:00,-0.0009918609874091276,0.0006038647526497545,0.00019547716879343986,-4.427043942273716e-05,,,,,,,C,nan
2024-04-01 14:04:00+00:00,-0.0006423170347255143,0.0,0.00017994791210146891,7.66293212929503e-06,,,,,,,C,nan
2024-04-01 14:05:00+00:00,0.0004671805737857464,0.0006035003200667957,2.151124475886639e-05,1.657399143562765e-05,,,,,,,nan,nan
2024-04-01 14:08:00+00:00,-0.0014606645698271297,-0.0003017046334545489,0.00026649429334771026,5.915901911553132e-06,,,,,,,C,nan
2024-04-01 14:09:00+00:00,-0.0005263619737282864,0.00030170463345466526,0.0001883337480302169,7.267103287576852e-05,,,,,,,C,C
2024-04-01 14:10:00+00:00,0.0002339728602156954,-0.0003017046334545489,-6.435789178141371e-05,-8.869881442705672e-07,,,,,,,nan,nan
2024-04-01 14:12:00+00:00,0.0007015903000602488,0.001206272763881596,-0.0001488055666771071,-1.2849966610313777e-05,,,,,,,nan,nan
2024-04-01 14:14:00+00:00,-0.0006431056376460879,-0.0003014318033373137,8.076782208353564e-05,2.3956742525710015e-05,,,,,,,nan,nan
2024-04-01 14:15:00+00:00,0.000526208098206401,0.0006027727729220138,4.643382284940739e-06,-5.972837530094555e-05,,,,,,,nan,P
2024-04-01 14:18:00+00:00,0.0017520298822647654,0.000602409656772046,-0.0001748558887325766,-3.0564663307297354e-05,,,,,,,P,nan
2024-04-01 14:19:00+00:00,-0.0007588360986380076,-0.0009037506263568113,8.839426335570948e-05,1.9969145536158244e-05,,,,,,,nan,nan
2024-04-01 14:20:00+00:00,-0.0012270298655995763,0.0,0.00019545394906397636,-2.3624988771748634e-05,,,,,,,C,nan
2024-04-01 14:21:00+00:00,0.0006721314123782704,-0.0003014318033373137,-2.9328163592815558e-05,2.7812657413709985e-05,0.00019828108718192243,,,4.34340647834396e-05,,,nan,nan
2024-04-01 14:22:00+00:00,0.0005548984532214925,0.0,-8.61227363496978e-05,1.6695997533663814e-05,0.00019852407524266857,2.429880607461381e-07,,4.2967858030135756e-05,-4.66206753303841e-07,,nan,nan
2024-04-01 14:25:00+00:00,-0.0009931937836267501,-0.00060313632708958,0.00010669414795817495,1.2434087903955213e-05,0.0001860080869718538,-1.2515988270814764e-05,,4.080130903647426e-05,-2.1665489936614977e-06,,nan,nan
2024-04-01 14:29:00+00:00,-0.00023383608197285848,-0.0006035003200669072,8.94662696746878e-05,2.8184931043512716e-05,0.00016640845341912367,-1.9599633552730135e-05,,4.0699963720141956e-05,-1.0134531633230272e-07,,nan,nan
2024-04-01 14:30:00+00:00,-0.00046783626584281126,-0.0003018867947456603,0.00010140093429567105,4.0542688353111984e-05,0.00016601754104611724,-3.9091237300642456e-07,,4.12444096153964e-05,5.444458952544423e-07,,nan,nan
2024-04-01 14:31:00+00:00,0.0005847611417434075,0.00030188679474560745,-0.00012919072379156312,-7.791615420647276e-06,0.0001623036448310118,-3.713896215105434e-06,,3.7855213683980066e-05,-3.389195931416332e-06,,nan,nan
2024-04-01 14:32:00+00:00,0.00023380874551220802,0.0006035003200667957,-2.5829212930590785e-05,2.3105210770006643e-06,0.0001562970650346705,-6.006579796341305e-06,,3.63130333685419e-05,-1.5421803154381652e-06,,nan,nan
2024-04-01 14:34:00+00:00,0.00035061065046821185,-0.0006035003200669072,-4.592499503157914e-05,3.195066567769391e-05,0.00012798738829108077,-2.830967674358973e-05,,3.055081017639675e-05,-5.762223192145148e-06,,nan,nan
2024-04-01 14:35:00+00:00,0.0015178939221205264,0.0,-0.0002522927526558039,1.0154947178684162e-05,0.00013824199906957159,1.0254610778490813e-05,,2.8132978560873494e-05,-2.417831615523258e-06,,P,nan
2024-04-01 14:36:00+00:00,0.0002916387200232618,-0.0003018867947456603,-9.320891120925348e-05,2.9639422927540376e-05,0.00013488602212994417,-3.3559769396274185e-06,,2.850191216132109e-05,3.6893360044759496e-07,,nan,nan
2024-04-01 14:37:00+00:00,0.0005830224045745066,-0.0009062075835379866,-0.00014302541730392345,2.15308250974434e-05,0.0001387661140435904,3.880091913646233e-06,,2.8581984072297916e-05,8.007191097682661e-08,,nan,nan
2024-04-01 14:38:00+00:00,0.00029138378364037095,0.0,-7.308614843277231e-05,-2.4220504515728736e-05,0.00012396949974826394,-1.4796614295326465e-05,,2.9607699761632438e-05,1.025715689334522e-06,,nan,nan
2024-04-01 14:39:00+00:00,-0.0010493792136533494,0.0,0.00011597563958373568,6.606603556866169e-06,0.00011848745398032659,-5.482045767937345e-06,,2.5523182371245017e-05,-4.08451739038742e-06,,nan,nan
2024-04-01 14:40:00+00:00,0.00011665208528841376,-0.000604594939819525,-1.5576809530126267e-05,3.0775007543265606e-07,0.0001181179685337224,-3.69485446604189e-07,,2.5508579424726393e-05,-1.460294651862401e-08,,nan,nan
2024-04-01 14:41:00+00:00,-0.00034999708693052864,0.0,0.00010498066364552985,-2.9047964677393477e-05,0.00011737669272873491,-7.412758049874895e-07,,2.6369998264921902e-05,8.614188401955084e-07,,nan,nan
2024-04-01 14:42:00+00:00,0.00017501385571023662,0.0,-2.0955796204720934e-05,1.9569560350143187e-05,0.00011546906738563218,-1.9076253431027335e-06,,2.6220569458750293e-05,-1.4942880617160918e-07,,nan,nan
2024-04-01 14:44:00+00:00,0.0005248578630474159,-0.0006049606960062162,-8.107896895087614e-05,3.7649446654211174e-05,0.0001163237605526101,8.546931669779203e-07,,2.2402685438443726e-05,-3.817884020306567e-06,,nan,nan
2024-04-01 14:45:00+00:00,-0.001400233601009835,-0.0006053268949969008,0.0001911470480634543,2.5501902023300568e-05,0.0001191705524696561,2.846791917045997e-06,,2.055649802711412e-05,-1.8461874113296046e-06,,C,nan
2024-04-01 14:46:00+00:00,0.00035024225447055727,-0.0006056935375966874,-0.00012163509890818463,4.1006441121636526e-05,0.00012021087994112065,1.0403274714645538e-06,,2.1486308697377922e-05,9.298106702638016e-07,,nan,nan
2024-04-01 14:48:00+00:00,-0.0006422045350182333,0.0024205760684193087,0.000135195350639192,-9.68246505065811e-05,0.0001154346775491199,-4.776202392000752e-06,2.854296889134395e-05,3.1852062610139566e-05,1.0365753912761643e-05,7.488758237709939e-06,nan,P
2024-04-01 14:49:00+00:00,0.0008756312400929562,0.0,-0.00013251277327993053,-3.4924047131370655e-06,0.00011844042858677165,3.0057510376517497e-06,2.5684697571697478e-05,3.168391400254472e-05,-1.6814860759484663e-07,6.938167380487712e-06,nan,nan
2024-04-01 14:51:00+00:00,0.0002917067784170715,0.0006042296256339234,-2.3708537898774984e-05,-5.651707036959473e-05,0.00011739024304407342,-1.0501855426982287e-06,2.1708824072028606e-05,3.4726141311494874e-05,3.042227308950155e-06,6.404341762094035e-06,nan,P
2024-04-01 14:52:00+00:00,0.0015155050697308534,0.0,-0.0001893451380804274,7.024461748864528e-06,0.00011979015525022942,2.399912206156005e-06,1.808488281902509e-05,3.468192309364881e-05,-4.421821784606378e-08,6.01730185853517e-06,P,nan
2024-04-01 14:55:00+00:00,-0.00034952814057349126,-0.00030206917613765955,1.8528510943602877e-05,2.6169457131772028e-05,0.00011707169692920843,-2.7184583210209973e-06,1.6203912839671084e-05,3.461143281382688e-05,-7.049027982193324e-08,5.593206133953906e-06,nan,nan
2024-04-01 14:58:00+00:00,0.0005242464078127791,0.0009059339287872584,-9.539226952561196e-05,-8.119901251503012e-05,0.0001133012437503249,-3.7704531788835247e-06,1.3821758257549541e-05,3.836715449132068e-05,3.7557216774938e-06,5.3139399060958754e-06,nan,P
2024-04-01 14:59:00+00:00,-5.823603064859635e-05,-0.0006038647526496975,-3.0235685964744975e-05,2.3462683670836733e-05,0.0001115249182367551,-1.7763255135697982e-06,1.108996097027545e-05,3.8752703563833235e-05,3.8554907251255835e-07,5.389886543348354e-06,nan,nan
2024-04-01 15:00:00+00:00,-0.0006990970281815663,0.0,8.674675569096504e-05,-3.120615218609988e-05,0.00011500588639148913,3.4809681547340223e-06,7.945627914955699e-06,3.9348493572103195e-05,5.9579000826996e-07,5.62296127795956e-06,nan,nan
